text,label,0.5
Naku Duterte pinasaya mo lang si Binay sa pagtakbo mo tsk tsk.?? mahahati lang bot niyo ni Santiago????,1,Filipino
"pag siya nagtatanong, kailangan sagutin pero pag sya tinatanong, umiiwas? huwaw ONLY BINAY!#PiliPinasDebates2016 ??",1,Filipino
Yung Ad nanaman para kay Binay!! ????????????,0,n/a
Nognog pero hindi maka-Binay. ????,1,Filipino
"Dear Makati,+1 Taxpayer- 1 Binay vote= 1 step to progress... #Taxes &amp; #Politics https://t.co/rodAWM2ICa",0,English
Senate Inquiry: File plunder case against VP Binay. https://t.co/ar6Flc5AwY,0,English
"Both say they were not campaigning. Roxas, Binay visit Lando-hit Nueva Ecija via @rapplerdotcom https://t.co/tpAzewecWO#PHvote",0,English
Edwin Lacierda: It's unfortunate that Grace Poe rejected outright the offer of Mar Roxas to do unity talks. https://t.co/fSAB1TznL3,0,English
Kawawa yung LGBT kung manalo si binay at manny! Hayop!,1,English
Mesaage to Rep Binay: Patunayan niyo muna na talagang hindi kau corrupt then tsaka ka uli humarap sa publiko..,0,Filipino
"@buwayahman thing is, you're framing the race between mar and binay which is not the reality on the ground.",0,English
Duterte is a chauvinist ,English
Poe ain't ready for prime time ,English
Binay is Binay ,English
Miriam is sick....,1,English
#LabanLeni naalala ko sabi ng mga taga ARMM...si bbm ang may plan b-z! Baba daw si duterte.impeach daw si binay.,0,Filipino
Sobrang layo ng agwat no Du30 kay Poe,0,Filipino
Tangina laughtrip talaga sa commercial ni binay kairita pota hahaha,1,Filipino
"Ulul mo Roxas, daang matuwid nga ni Noynoy di pa nagagawa, iyo pa kaya?",1,Filipino
Hay Mar Roxas,1,English
@simon_AngeloV oo syempre uunahin nila ilabas kunwari si Duterte tapos mkakahabol si Roxas. Tsk. Strategy bulok. Hahaha,1,n/a
"[MEET THE PRESIDENTIABLES SERIES] VP Binay on taxation: ""I will push for lowering of corporate income… https://t.co/Ps21DexxzO",0,English
NO TO MAR ROXAS! @ Marikina  Heights https://t.co/RG9P2v1H8M,1,n/a
"PAKINGGAN | DANCE REMIX NG EPIC 'FIST BUMP' NI ROXAS, 'ANU-ANO' NI VP BINAY @mjmarfori... https://t.co/XjfzVuNy7J",0,n/a
I beg to disagree Pulse Asia Survey this election is a rematch of Binay and Mar Roxas not Poe vs. Roxas.,English
imo.,0,n/a
Mar Roxas sayang lang ang panawagan mo kay Sen. Grace Poe! So shut up nalang!,1,Filipino
"Sinabi umano ni Mar Roxas na di niya kailangan ang boto ng mga OFW, ayon sa isang website. https://t.co/ETuyaqn7AQ",0,Filipino
"Hey I have an idea! Why not let Roxas,Poe,and Binay quit then encourage their voters to vote for Sen.Santiago? #AyawSaDILAW",1,English
"@jeandeesram NOGNOG,Pandak, Laki sa Hirap Yan si Binay ??",1,n/a
Nag iinit ulo kong tuwing nakikita ko si Mar Roxas. Puro kabobohan mga lumalabas sa bunganga. Punyeta! Di ka mananalo. Ulu!,1,Filipino
"Nakakatawa sina Binay, Roxas at Robredo. Kunyari pa gusto daw makatulong sa mga nasalanta ng bagyo, pinakita sa... https://t.co/onTaGUfnWq",1,Filipino
Puro Mar Roxas nalang sa news at commercial sus pahumot.,1,English
"Ilagan: Some voters said they voted for Binay, but says receipt showed vote for Roxas. #BilangPilipino | @janvicmateo",0,English
Binay listens,n/a
#onlybinay,0,n/a
@pnppro1@PNPLUPPO V-PRES BINAY while giving his message to the Senior Citizen of this municipality. https://t.co/WuB0KVcrDO,0,English
"@inquirerdotnet @NCorralesINQ oh, puro kayo tira at panira ky VP Binay tpos ngaun matatakot kayo. nako nmn. #PHVoteBinay",1,Filipino
RT @asdasdfasdfghja: @imcessfederico nakita mo ung trend? Only binay! Hahahahahahaha utas sa mga nababasa ko eh ??????,0,Filipino
Manuno sa punso VP Binay nanaman lagi nlng nalalait. pero ayos lang yan sanay nanaman siya.,Filipino
OnlyBinay,n/a
 https://t.co/AgVXeIYkSj,0,n/a
2nd si mar roxas????????? ?? putangina??????????? gising ba tayo???,1,n/a
Tanga lang boboto kay mar roxas !!! #AyawSaDILAW DUTERTE PADIN!,1,English
Bakit in good terms si Duterte and Mar?,English
Mar Roxas kasi sya.,n/a
pls. tell me u got it. :(,English
#MautakMondays #deadlySYN #Synesi,0,n/a
Mala binay po https://t.co/SnroFQTM3m,0,n/a
SC reverses ombudsman suspension of Junjun Binay - Yahoo News Singapore https://t.co/aokA5vGGSR via @yahoosg,n/a
#ShowtimeHashtags,0,English
@SayChiz at FOCAP: root cause of insurgency is poverty. We (Sen. Poe) will cut that from the roots. #Chiz2016,0,English
Yaman talaga ni Binay ! Dalawa na TV ADs nya hahaha! Ikaw na talaga corrupt sa lahat!,1,Filipino
"Binay, Defensor-Santiago, Duterte &amp; PoeAll protest votes against MarHow many votes does he think he can get if any quit?#RoxasQuitNow",1,English
@danicaea06 smh for Mar Roxas.,1,n/a
"Binay said he doesn't want to be called ""Nognog"" anymore but he used it on his ad. Ano ba? Haha",0,English
NOGNOG . PANDAK. Haha lait na lait si binay sa ad campaign niya eh . Haha,1,Filipino
Chiz slams VP Binay and LP’s offer for Gordon to file DQ cases against Poe - Read: https://t.co/gEhDcL7ymL https://t.co/TtydJ8GTQP,0,English
"Either Miriam, Grace Poe or Du30 wag lang talag Binay at Roxas kampante na ko. #AyawSaDILAW",1,English
