text,label
GASTOS NI VP BINAY SA POLITICAL ADS HALOS P7-M NA Inaasahan na ni Vice President Jejomar Binay na may mga taong... https://t.co/SDytgbWiLh,0
Mar Roxas TANG INA TUWID NA DAAN DAW .. EH SYA NGA DI STRAIGHT,1
Salamat sa walang sawang suporta ng mga taga makati! Ang Pagbabalik Binay In Makati #OnlyBinayInMakatiSanKaPa https://t.co/iwAOdtZPRE,0
@rapplerdotcom putangina mo binay TAKBO PA,1
"Binay with selective amnesia, forgetting about the past six years he spent preparing to be president.  #PiliPinasDebates2016",0
It doesn't matter whoever won between Duterte &amp; Miriam as President. As long as they finally changed the country Noynoy failed to do so.,0
Nognog? Pero nognog din ang nag malasakit? Wtf? Tangina mo Binay nagpapaawa kapa! Hahahahaha #Nognog ??,1
Only Binay o Oily Binay?? #BinayPaRin! #Binay2016 #OnlyB1nay ?? #FB https://t.co/QEQnsK67Gm,1
What Abi Binay said on running for Makati mayor #Halalan2016 https://t.co/ayxM39JKNx https://t.co/rHhl4LfMaa,0
Srsly. How can Binay do away with no tax for those earning PhP 30k and below without any compromises? Nkklk talaga!,1
"Sen Grace Poe, puro ka puso. Kaya lugmok bansa natin sa kahirapan at corruption. Puro puso. Walang utak.",1
"RT @KarlNative: Sa laki ng ginastos ni Binay tapos sa laki din ng talo niya sa Mayo, siya pa din tameme sa ending ng kwento. Yun na! https:…",1
ENDO na para kay PNoy. No extension para sa kanyang Mar Roxas! #DuterteTillTheEnd,1
"@xpeanutgalleryx Pet theory: Contrasted w/ PNoy for past 6 years, Binay hasn't failed much - then again he hasn't done much either.",0
"RT @_nicklegaspi_: Sino ba si Binay? Yuan: Nognog, Pandak, Laki sa Hirap.",0
BREAKING: VCM Inside Novotel Cubao owned by Mar Roxas https://t.co/dHPwvHwfwX,0
"di daw pagsisihan na binoto nila si MDS kahit talo baka dun na kayo magsisi kung si Roxas, Binay or Poe ang mananalo, kayo na matatalino :D",0
"RT @chevalierkun: So ""anak ni Mar"" pala itong si DJP. Won't be surprised if ""Nese Iye Ne Eng Lehet"" will be Mar Roxas' campaign jingle. #N…",0
"Ang kakapal ng mga mukha niyo PNoy at Roxas, matapos niyong batikusin si Poe at Binay sila naman ang yayain niyo? Anu toh Civil War?",1
walang hindi importante kay VP Binay. #OnlyBinayMagAangatSaTacloban,0
"Eh di wow! Talagang gamit na gamit yung ""PANDAK""? SUS! IBA NA LANG BINAY! WAG KAME!  https://t.co/GboiJfHXPZ",1
Parang walang gustong maka tandem ni mar roxas sa liberal party dahil alam nilang mahihirapang manalo si roxas.,1
Si Senator Nancy Binay ba tinutukoy mo? Hahahahaha! ?? https://t.co/LLHL8Q9R3I,0
ITO NAMAN SI MAR ROXAS PARANG P***** i** ???? MAKIKIPAG SANIB LANG KAY POE PARA TALUNIN SI DUTERTE ? #DuterteTillTheEnd,1
Alma Moreno OK despite being bashed over TV interview: Binay #Halalan2016 https://t.co/QErQ4b35fF https://t.co/b1jPPpALbZ | via ABS-CBN N…,0
I will definitely not vote for Binay a big NO ????,0
si Mar Roxas yung parang cartoon or anime na hindi nagpapalit ng damit.,0
"Political ad on respect not a response to Duterte’s rape remark, Poe clarifies https://t.co/XSgjKs34vl",0
"RT @TropangMARangal: Mar Roxas is in Naguilian, Isabela today to attend a sectoral assembly https://t.co/6JTsqoVgbG",0
Sooo not Mar Roxas ??,0
Nakakairita na tong mga commercial ni binay. ??????,1
