text,label,0.5
GASTOS NI VP BINAY SA POLITICAL ADS HALOS P7-M NA Inaasahan na ni Vice President Jejomar Binay na may mga taong... https://t.co/SDytgbWiLh,0,English
Mar Roxas TANG INA TUWID NA DAAN DAW .. EH SYA NGA DI STRAIGHT,1,English
Salamat sa walang sawang suporta ng mga taga makati! Ang Pagbabalik Binay In Makati #OnlyBinayInMakatiSanKaPa https://t.co/iwAOdtZPRE,0,Filipino
@rapplerdotcom putangina mo binay TAKBO PA,1,Filipino
"Binay with selective amnesia, forgetting about the past six years he spent preparing to be president.  #PiliPinasDebates2016",0,English
It doesn't matter whoever won between Duterte &amp; Miriam as President. As long as they finally changed the country Noynoy failed to do so.,0,English
Nognog? Pero nognog din ang nag malasakit? Wtf? Tangina mo Binay nagpapaawa kapa! Hahahahaha #Nognog ??,1,Filipino
Only Binay o Oily Binay?? #BinayPaRin! #Binay2016 #OnlyB1nay ?? #FB https://t.co/QEQnsK67Gm,1,n/a
What Abi Binay said on running for Makati mayor #Halalan2016 https://t.co/ayxM39JKNx https://t.co/rHhl4LfMaa,0,English
Srsly. How can Binay do away with no tax for those earning PhP 30k and below without any compromises? Nkklk talaga!,1,English
"Sen Grace Poe, puro ka puso. Kaya lugmok bansa natin sa kahirapan at corruption. Puro puso. Walang utak.",1,Filipino
"RT @KarlNative: Sa laki ng ginastos ni Binay tapos sa laki din ng talo niya sa Mayo, siya pa din tameme sa ending ng kwento. Yun na! https:…",1,Filipino
ENDO na para kay PNoy. No extension para sa kanyang Mar Roxas! #DuterteTillTheEnd,1,n/a
"@xpeanutgalleryx Pet theory: Contrasted w/ PNoy for past 6 years, Binay hasn't failed much - then again he hasn't done much either.",0,English
"RT @_nicklegaspi_: Sino ba si Binay? Yuan: Nognog, Pandak, Laki sa Hirap.",0,Filipino
BREAKING: VCM Inside Novotel Cubao owned by Mar Roxas https://t.co/dHPwvHwfwX,0,English
"di daw pagsisihan na binoto nila si MDS kahit talo baka dun na kayo magsisi kung si Roxas, Binay or Poe ang mananalo, kayo na matatalino :D",0,Filipino
"RT @chevalierkun: So ""anak ni Mar"" pala itong si DJP. Won't be surprised if ""Nese Iye Ne Eng Lehet"" will be Mar Roxas' campaign jingle. #N…",0,English
"Ang kakapal ng mga mukha niyo PNoy at Roxas, matapos niyong batikusin si Poe at Binay sila naman ang yayain niyo? Anu toh Civil War?",1,Filipino
walang hindi importante kay VP Binay. #OnlyBinayMagAangatSaTacloban,0,English
"Eh di wow! Talagang gamit na gamit yung ""PANDAK""? SUS! IBA NA LANG BINAY! WAG KAME!  https://t.co/GboiJfHXPZ",1,n/a
Parang walang gustong maka tandem ni mar roxas sa liberal party dahil alam nilang mahihirapang manalo si roxas.,1,Filipino
Si Senator Nancy Binay ba tinutukoy mo? Hahahahaha! ?? https://t.co/LLHL8Q9R3I,0,n/a
ITO NAMAN SI MAR ROXAS PARANG P***** i** ???? MAKIKIPAG SANIB LANG KAY POE PARA TALUNIN SI DUTERTE ? #DuterteTillTheEnd,1,n/a
Alma Moreno OK despite being bashed over TV interview: Binay #Halalan2016 https://t.co/QErQ4b35fF https://t.co/b1jPPpALbZ | via ABS-CBN N…,0,English
I will definitely not vote for Binay a big NO ????,0,English
si Mar Roxas yung parang cartoon or anime na hindi nagpapalit ng damit.,0,Filipino
"Political ad on respect not a response to Duterte’s rape remark, Poe clarifies https://t.co/XSgjKs34vl",0,English
"RT @TropangMARangal: Mar Roxas is in Naguilian, Isabela today to attend a sectoral assembly https://t.co/6JTsqoVgbG",0,English
Sooo not Mar Roxas ??,0,n/a
Nakakairita na tong mga commercial ni binay. ??????,1,Filipino
"#Newsreport Pagsuporta ng Gobernador ng Ifugao kay VP Binay, pinasalamatan ng UNA I via Allan Francisco",0,Filipino
Haha. Binay at Jollibee. https://t.co/grK0Unnrqu,0,English
"VPcandidate senTrillanes, campaign more for Presidential CandidateSenGracePoe than his VP bid, also said no to Binay https://t.co/zM4f12tMiJ",0,English
That Binay commercial tho.,0,n/a
Mar offered unity talks w Grace Poe. Invitation declined. Bayan bago Sarili Sana. #Roxas2016 #RoxasRobredo #SwitchtoMar,0,English
"Nagrereklamo yung kasabay ko sa jeep, Duterte daw binoto niya Roxas lumabas.",0,n/a
"Walang drama. Walang hugot. Trabaho lang. At higit sa lahat, hindi tayo pagnanakawan ni @MARoxas! #RoxasRobredo2016 https://t.co/AdlkE3qXNF",0,Filipino
RT @cory_vidanes: Galing sa showtime yang cake hindi galing kay binay!! hahah ItsShowtime ToMiho,0,n/a
"If Mr.Palengke looses his Presidential bid ,di c Binay di c Duterte At lolong di c Poe ang sisihin kundi ALDUBNATIONS. #VoteMaineFPP #KCA",0,English
Binay completes Senate slate #Halalan2016 https://t.co/qFiWau1srr https://t.co/qx9Wyvgk7C,0,English
lol binay,1,n/a
"Mar Roxas, handang humarap sa panibagong imbestigasyon ng Mamasapano clash https://t.co/vx7Obja5TQ",1,Filipino
O mar roxas debates daw.. https://t.co/WYNSrwKv0x,0,English
Sana kasi President Duterte and Vice President Santiago,0,English
Lonely Binay.,0,English
"BINAY NA KANG TALAGA AKO. Nognog, pandak, laki sa hirap.",1,n/a
"Mar Roxas' son, Paolo now stumping for his Dad here in Digos City, Davao del Sur | @aureacalica https://t.co/SAI6wtBTIS",0,English
Handa na po ang Wheel Chair PNOY  Trillianes Mar Roxas,0,Filipino
RT @markanthonyqui5: @yaneeyoo wow binay ikaw bayan haha,0,n/a
Talagang mas pinili nila si ROXAS at BINAY over MDS. WTF!!! ?????? #Election2016,1,n/a
@AbglGrllo @dauntjess oy nandito si binay,0,n/a
Had a lot to say about the controversial paid ads released last night. But it thought me that it only helps make mar roxas's name trend.,0,English
Do you know that #Binay's enormous wealth did not all come from his salary all these years as a gov't. official? https://t.co/apoM28DulB,0,English
Mar Leni Mar Leni Mar Leni Mar Leni Mar Leni!!! Think positive. Tandem win!???? #RoxasRobredo,0,English
LOOK: 'Binay' sign ala Hollywood rises on Banaue Rice Terraces https://t.co/gQ2bBkt5ou #Halalan2016 https://t.co/kqL7UQ8l2M | via ABS-CBN…,0,English
"RT iamkarendavila: JUST IN. Mar Roxas calling on Grace Poe to talk. ""This is for unity. Mag-usap tayo"" ANCALERTS",0,English
Lt yung tvc ni binay haha ??,1,n/a
"Pati ba naman Picos Machine, binayaran ni Mar Roxas??????",1,English
RT @senmiriam: [STAFF] Sen. Miriam Defensor Santiago sponsors Senate Resolution No. 1414 on the EDCA.,0,English
RT @ruffagucherez: #RespectDJPDecisionForMarRoxas tanungin na lang natin kng san galing yng binayad ni pamintang @MARoxas sa kanya! #Yoland…,0,Filipino
LP to Binay: Where did you get the P600M you spent on TV ads? | https://t.co/Crkqho2mPm | Philippine News https://t.co/68hAdQCt8q via @po_st,0,English
pinaka walang kwenta sa debate na to si binay. nakakaloka..puro ka nanaman makati. #pilipinasdebate2016,1,Filipino
"@omeng414 @ADMDShippersOFC @erlyn21 basahin ko padin, panu kung ma retweet ko nanaman yung kay BINAY? ADN FOR MAINE
#VoteMaineFPP #KCA",0,n/a
"He is just endorsing Mar Roxas, hindi naman niya kau pinipilit na iboto siya. #RespectDJPDecisionForMarRoxas",0,English
#Roxas2016 #RoxasRobredo #SwitchtoMar  https://t.co/fbIzaMOoUr,0,English
"Madami naman natulungan si Binay, kesa kay dut3rt3.",0,Filipino
@aisaraaap gago hindi! Hahahaha. Mga anti-Binay girl.,0,Filipino
#UNTVRepaso2015 CA dismisses Junjun Binay’s petition against Ombudsman suspension order [2-11-2015] [NY-A1710],0,English
Over motherly naman 'tong si Poe. Yung masungit at mahigpit na nanay ang kelangan ng Pilipinas para may disiplina. #PiliPinasDebates2016,1,Filipino
