text,label,language
gastos political halos inaasahan taong,0,English
tang ina tuwid daan daw eh sya straight,1,English
salamat sawang suporta taga,0,Filipino
putangina mo takbo,1,Filipino
selective amnesia forgetting past six years he spent preparing,0,English
matter whoever won long they finally changed noynoy failed,0,English
nognog nognog nag malasakit wtf tangina mo nagpapaawa kapa hahahahaha,1,Filipino
said running mayor,0,English
srsly away earning php without compromises nkklk,1,English
sen puro puso lugmok bansa natin kahirapan corruption puro puso utak,1,Filipino
laki ginastos tapos laki talo niya mayo siya tameme ending kwento yun,1,Filipino
pet theory contrasted pnoy past years failed much he done much either,0,English
yuan nognog pandak laki hirap,0,Filipino
breaking vcm inside novotel cubao owned,0,English
daw pagsisihan binoto talo baka dun kayo magsisi mananalo kayo matatalino,0,Filipino
anak itong surprised nese iye ne eng lehet campaign jingle,0,English
kakapal mukha niyo pnoy matapos niyong batikusin sila yayain niyo anu toh civil war,1,Filipino
importante,0,English
parang gustong maka tandem alam mahihirapang manalo,1,Filipino
ok despite bashed interview,0,English
definitely big,0,English
yung parang cartoon anime nagpapalit damit,0,Filipino
political respect response rape remark clarifies,0,English
naguilian isabela today attend sectoral assembly,0,English
nakakairita tong,1,Filipino
pagsuporta gobernador ifugao pinasalamatan allan francisco,0,Filipino
haha jollibee,0,English
vpcandidate sentrillanes campaign candidatesengracepoe his bid also said,0,English
offered unity talks invitation declined bayan sana,0,English
drama hugot trabaho higit pagnanakawan,0,Filipino
mr palengke looses his bid lolong sisihin kundi aldubnations,0,English
completes senate slate,0,English
handang humarap panibagong imbestigasyon mamasapano clash,1,Filipino
debates daw,0,English
sana kasi,0,English
lonely,0,English
son paolo stumping his dad here digos city davao del sur,0,English
handa po wheel chair pnoy trillianes,0,Filipino
lot controversial paid released last night thought helps name trend,0,English
you enormous wealth come his salary years gov official,0,English
positive tandem win,0,English
sign ala hollywood rises banaue rice terraces,0,English
iamkarendavila calling talk unity mag usap ancalerts,0,English
picos machine binayaran,1,English
staff sen sponsors senate resolution edca,0,English
tanungin natin kng san galing yng binayad pamintang,0,Filipino
lp you pm you spent philippine news,0,English
pinaka kwenta debate nakakaloka puro nanaman,1,Filipino
he endorsing niya kau pinipilit iboto siya,0,English
madami natulungan kesa dutrt,0,Filipino
gago hahahaha anti girl,0,Filipino
ca dismisses junjun petition ombudsman suspension order ny,0,English
motherly tong yung masungit mahigpit nanay kelangan pilipinas disiplina,1,Filipino
yown st time nag,0,English
nalito yung pari san pwede paitimin nagtagal tuloy misa cause delay hala,1,English
rank,0,Filipino
nung ginisa uplb tuwang tuwa kayo nung kandidato niyo bastos estudyante uplb,1,Filipino
lumaki man taung mahirap lumaki mahirap,0,Filipino
my goodness super annoying mo you pls stop really oo laki hirap punyeta,1,English
re blogger seems yellow koolaid iv line kanina baka pamatong basis nada,0,English
bets ready wrong bash interview ift tt lysbjy,0,English
really irritated answer sense,1,English
goodbye your ambitions your trains even support your contrived image,1,English
tapos nagtataka andaming naloloko eh ganun pinapansin,1,Filipino
pacquiao senatorial line face palm,1,English
masyadong kita kilay sobrang itim kulay,1,Filipino
watch interviews gets mixed reviews,0,English
sure giving he behind less votes yet counted,0,English
tangina yung nakabwisit,1,English
big promise workers earning monthly vo,0,English
masasabi mo performance recent debate,0,Filipino
tangina enrile masyadong halatang solid supporter,1,Filipino
errata rin pinakamataas distrust disapproval ratings,1,English
introduction mo panay paninira mo kandidato,1,Filipino
daang matuwid roro rising things possible you believe,0,English
nakakairita,1,English
sen nothing residency issue mo gawing tanga kang magmalinis bobo,1,English
yung kaklase mong nag top nung kinder college niyayabang niya lels,1,English
tikom bibig pahayag sen jv ejercito sen susuportahan ama allan francisco,0,Filipino
tvpatrol kilalanin,0,English
sya nagchachat sinasabing kuya ate palike po wouldi kupal tularan,0,Filipino
yun eh sakit hirap hati boto baka manalo tuloy,0,Filipino
fear population philippines stupid enough please let happen,1,English
lead uprising wins,0,English
tignan mo akong kwento nanaman iniimbento mudang,0,Filipino
manage afford even his accounts frozen he owe,0,English
elections race mayor former dilg secretary,0,English
bagay bagay kayo promise kayong anak,0,Filipino
ilang kilometro nalakad debate good karen disappointment,1,English
take shot mentions mentions davao mentions fpj mentions daang matuwid,0,English
kayo forever kayo eh xd azar,0,Filipino
reason increase his numbers he dumb stupid lacks sincerity factors hid,1,English
kayo mananalo shut kayo,1,Filipino
business expo hope you invite next year philippines,0,English
boboto tanga taxi driver hard haha,1,Filipino
act define mayor defined politicians dirty acts gain power end,0,English
cortuption poverty isis isip,1,English
layo sagot pota,1,Filipino
plunderers big,1,English
noy secret cough cough,0,English
medjo nakakatakot manalo baka ipa impeach nya eh galamay yan isama,0,Filipino
pol nakakaiyak awang awa joke big joke,1,Filipino
ngaun kalaban gaano kadami sumusuporta sknya iyak kau,0,Filipino
pabebe taon sige tumakbo maghati boto niyo ikaw nang manalo mo,1,Filipino
kaano,0,Filipino
slams lp offer gordon file dq cases,0,English
burn hahahahahaha kathniel aklan,1,English
aldub fans sinisisi nognog kasalanan binoboycott bagyo baha parin,1,Filipino
run go tandem long they appoint dilg secretary,0,English
yung last link sinend nandun,0,Filipino
first choice he best choice,0,English
nakakatainga tlaga pwede ganun yun nakadayaan election nanalo sya,1,English
really people media politicians something,0,English
sen accuses lying trying deceive public his showing,0,English
quicho magsisimula kampanya kahirapan,0,Filipino
basta nag anoint successor nina gawin ok inyo ha,0,Filipino
sana yung binoto nyo binoto nyo eh,0,Filipino
kayo nanakawan haha bogus you desparate,1,English
nako alam,1,Filipino
oa yung die hard fans dut erte yun matutuwa sila sila,0,Filipino
tatakbo mahahati boto knila end mananalo haynako,1,Filipino
sen gamely he along presidentiables also,0,English
allan disgrace babbling his mouth since gloria adm regarding mike arroyo proven nothing zero,1,English
