text,hate label,language label,0.5,0.6,0.7,0.8,0.9
Inaasahan na ni Vice President Jejomar Binay na may mga taong... https://t.co/SDytgbWiLh,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Salamat sa walang sawang suporta ng mga taga makati! Ang Pagbabalik Binay In Makati #OnlyBinayInMakatiSanKaPa https://t.co/iwAOdtZPRE,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Binay with selective amnesia, forgetting about the past six years he spent preparing to be president.  #PiliPinasDebates2016",0,English,English,English,English,English,n/a
It doesn't matter whoever won between Duterte &amp; Miriam as President. As long as they finally changed the country Noynoy failed to do so.,0,English,English,English,English,English,English
What Abi Binay said on running for Makati mayor #Halalan2016 https://t.co/ayxM39JKNx https://t.co/rHhl4LfMaa,0,English,English,English,English,English,n/a
"@xpeanutgalleryx Pet theory: Contrasted w/ PNoy for past 6 years, Binay hasn't failed much - then again he hasn't done much either.",0,English,English,English,English,English,English
"RT @_nicklegaspi_: Sino ba si Binay? 
Yuan: Nognog, Pandak, Laki sa Hirap.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
BREAKING: VCM Inside Novotel Cubao owned by Mar Roxas https://t.co/dHPwvHwfwX,0,English,English,English,English,English,n/a
"di daw pagsisihan na binoto nila si MDS kahit talo baka dun na kayo magsisi kung si Roxas, Binay or Poe ang mananalo, kayo na matatalino :D",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT @chevalierkun: So ""anak ni Mar"" pala itong si DJP.
Won't be surprised if ""Nese Iye Ne Eng Lehet"" will be Mar Roxas' campaign jingle.

#N…",0,English,English,English,English,English,English
Si Senator Nancy Binay ba tinutukoy mo? Hahahahaha! ?? https://t.co/LLHL8Q9R3I,0,Filipino,n/a,n/a,n/a,n/a,n/a
Alma Moreno OK despite being bashed over TV interview: Binay #Halalan2016 https://t.co/QErQ4b35fF https://t.co/b1jPPpALbZ | via ABS-CBN N…,0,English,English,English,English,n/a,n/a
I will definitely not vote for Binay a big NO ????,0,English,English,English,English,English,n/a
si Mar Roxas yung parang cartoon or anime na hindi nagpapalit ng damit.,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Political ad on respect not a response to Duterte’s rape remark, Poe clarifies https://t.co/XSgjKs34vl",0,English,English,English,English,n/a,n/a
"RT @TropangMARangal: Mar Roxas is in Naguilian, Isabela today to attend a sectoral assembly https://t.co/6JTsqoVgbG",0,English,English,English,English,English,n/a
Sooo not Mar Roxas ??,0,English,n/a,n/a,n/a,n/a,n/a
"#Newsreport Pagsuporta ng Gobernador ng Ifugao kay VP Binay, pinasalamatan ng UNA I via Allan Francisco",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Haha. Binay at Jollibee. https://t.co/grK0Unnrqu,0,English,English,English,n/a,n/a,n/a
"VPcandidate senTrillanes, campaign more for Presidential CandidateSenGracePoe than his VP bid, also said no to Binay https://t.co/zM4f12tMiJ",0,English,English,English,English,English,English
That Binay commercial tho.,0,English,n/a,n/a,n/a,n/a,n/a
Mar offered unity talks w Grace Poe. Invitation declined. Bayan bago Sarili Sana. #Roxas2016 #RoxasRobredo #SwitchtoMar,0,English,English,English,n/a,n/a,n/a
"Nagrereklamo yung kasabay ko sa jeep, Duterte daw binoto niya Roxas lumabas.",0,Filipino,n/a,n/a,n/a,n/a,n/a
"Walang drama. Walang hugot. Trabaho lang. At higit sa lahat, hindi tayo pagnanakawan ni @MARoxas!
#RoxasRobredo2016 https://t.co/AdlkE3qXNF",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"If Mr.Palengke looses his Presidential bid ,di c Binay di c Duterte At lolong di c Poe ang sisihin kundi ALDUBNATIONS. #VoteMaineFPP #KCA",0,Filipino,English,English,English,English,English
Binay completes Senate slate #Halalan2016 https://t.co/qFiWau1srr https://t.co/qx9Wyvgk7C,0,English,English,n/a,n/a,n/a,n/a
O mar roxas debates daw.. https://t.co/WYNSrwKv0x,0,Filipino,English,n/a,n/a,n/a,n/a
Sana kasi President Duterte and Vice President Santiago,0,Filipino,English,English,English,English,n/a
Lonely Binay.,0,English,English,English,English,English,English
"Mar Roxas' son, Paolo now stumping for his Dad here in Digos City, Davao del Sur | @aureacalica https://t.co/SAI6wtBTIS",0,English,English,English,English,English,n/a
Handa na po ang Wheel Chair PNOY  Trillianes Mar Roxas,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
RT @markanthonyqui5: @yaneeyoo wow binay ikaw bayan haha,0,Filipino,n/a,n/a,n/a,n/a,n/a
@AbglGrllo @dauntjess oy nandito si binay,0,Filipino,n/a,n/a,n/a,n/a,n/a
Had a lot to say about the controversial paid ads released last night. But it thought me that it only helps make mar roxas's name trend.,0,English,English,English,English,English,English
Do you know that #Binay's enormous wealth did not all come from his salary all these years as a gov't. official? https://t.co/apoM28DulB,0,English,English,English,English,English,English
Mar Leni Mar Leni Mar Leni Mar Leni Mar Leni!!! Think positive. Tandem win!???? #RoxasRobredo,0,English,English,n/a,n/a,n/a,n/a
LOOK: 'Binay' sign ala Hollywood rises on Banaue Rice Terraces https://t.co/gQ2bBkt5ou #Halalan2016 https://t.co/kqL7UQ8l2M | via ABS-CBN…,0,English,English,English,n/a,n/a,n/a
"RT iamkarendavila: JUST IN. Mar Roxas calling on Grace Poe to talk. ""This is for unity. Mag-usap tayo"" ANCALERTS",0,English,English,English,English,English,English
RT @senmiriam: [STAFF] Sen. Miriam Defensor Santiago sponsors Senate Resolution No. 1414 on the EDCA.,0,English,English,n/a,n/a,n/a,n/a
RT @ruffagucherez: #RespectDJPDecisionForMarRoxas tanungin na lang natin kng san galing yng binayad ni pamintang @MARoxas sa kanya! #Yoland…,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
