text,label,language
gastos ni sa political ads halos na inaasahan na ni na may mga taong,0,English
tang ina tuwid na daan daw eh sya nga di straight,1,English
salamat sa walang sawang suporta ng mga taga makati ang pagbabalik in makati,0,Filipino
putangina mo takbo pa,1,Filipino
with selective amnesia forgetting about the past six years he spent preparing to be,0,English
it does not matter whoever won between and as as long as they finally changed the country noynoy failed to do so,0,English
nognog pero nognog din ang nag malasakit wtf tangina mo nagpapaawa kapa hahahahaha,1,Filipino
what said on running for makati mayor,0,English
srsly how can do away with no tax for those earning php and below without any compromises nkklk talaga,1,English
sen puro ka puso kaya lugmok bansa natin sa kahirapan at corruption puro puso walang utak,1,Filipino
sa laki ng ginastos ni tapos sa laki din ng talo niya sa mayo siya pa din tameme sa ending ng kwento yun na,1,Filipino
pet theory contrasted with pnoy for past years has not failed much then again he has not done much either,0,English
sino ba si yuan nognog pandak laki sa hirap,0,Filipino
breaking vcm inside novotel cubao owned by,0,English
di daw pagsisihan na binoto nila si kahit talo baka dun na kayo magsisi kung si or ang mananalo kayo na matatalino,0,Filipino
so anak ni pala itong si will not be surprised if nese iye ne eng lehet will be campaign jingle,0,English
ang kakapal ng mga mukha niyo pnoy at matapos niyong batikusin si at sila naman ang yayain niyo anu toh civil war,1,Filipino
walang hindi importante kay,0,English
parang walang gustong maka tandem ni sa liberal party dahil alam nilang mahihirapang manalo si,1,Filipino
ok despite being bashed over tv interview via abs cbn,0,English
will definitely not vote for big no,0,English
si yung parang cartoon or anime na hindi nagpapalit ng damit,0,Filipino
political ad on respect not response to rape remark clarifies,0,English
is in naguilian isabela today to attend sectoral assembly,0,English
nakakairita na tong mga commercial ni,1,Filipino
pagsuporta ng gobernador ng ifugao kay pinasalamatan ng una via allan francisco,0,Filipino
haha at jollibee,0,English
vpcandidate sentrillanes campaign more for presidential candidatesengracepoe than his bid also said no to,0,English
offered unity talks invitation declined bayan bago sarili sana,0,English
walang drama walang hugot trabaho lang at higit sa lahat hindi tayo pagnanakawan ni,0,Filipino
if mr palengke looses his presidential bid di di at lolong di ang sisihin kundi aldubnations,0,English
completes senate slate,0,English
handang humarap sa panibagong imbestigasyon ng mamasapano clash,1,Filipino
debates daw,0,English
sana kasi and,0,English
lonely,0,English
